Korean,English
내가,I
그,that
난,I am
내,my
안,not
수,number
이,this
네,yes
거야,going to be
좀,a little
그래,okay
있어,there is
왜,why
더,more
그리고,and
우리,we
다,all
무슨,what
한,one
하지만,but
잘,well
어떻게,how
할,will do
그냥,just
정말,really
그럼,then
것,thing
게,crab
있어요,there is
있는,there is
해,sun
여기,here
넌,you
제가,I am
날,me
우리가,we
건,case
전,jeon
이제,now
지금,now
그게,that is
걸,girl
거,thing
아니,no
네가,you
없어,doesn't exist
돼,To be
저,I
우린,we
제,my
못,pond
좋아,good
당신이,you
다른,different
나,me
그런,that
그건,that
너무,too
그래서,so
그렇게,like that
다시,again
이건,This
이런,this
나도,me too
모든,every
당신,you
거예요,Will
당신은,you are
아,ah
좋은,good
오,oh
때,at the time
너,you
하는,doing
하고,do
아냐,no
나는,I am
아니야,no
알아,know
같이,together
응,huh
이게,this
없어요,no
괜찮아,are you okay
오늘,today
말이야,Word
줄,line
또,also
널,you
누가,who
어떤,which
아주,very
말,word
아직,yet
안돼,no
진짜,really
모두,every
마,mind
같은,same
여기서,here
어서,hurry
그는,he is
위해,for
해요,do
일이,Days
하지,summer solstice
엄마,mom
바로,as soon as
가,go
근데,however
알고,know
이렇게,like this
빨리,hurry
있습니다,there is
이거,this
전에,before
어,uh
아뇨,no
계속,continue
닥터,doctor
얼마나,how much
될,To be
알았어,okay
않아,Not
제발,please
있지,In place
겁니다,It is
어디,where
사람이,People
그가,he
안녕,hi
좋아요,great
같아,same
우리는,we are
그래요,is it so
당신을,you
자,ruler
그걸,That
두,two
아니에요,no
있을,Inquisition
때문에,because
대해,about
아빠,dad
몇,some
사람,person
했어,I did it
뭐야,what
수도,capital
많이,many
집에,at home
거지,the poor
일을,work
저는,I am
음,hmm
그렇지,yes
함께,together
만약,if
하나,one
저기,excuse me
고마워요,thank you
항상,always
나한테,To me
잠깐,for a moment
가서,Go
가장,most
돼요,can
거죠,It is
가자,let's go
맞아,that's right
보고,report
와,and
그거,that
말을,Words
괜찮아요,are you okay
아무도,no one
없는,Do not have
안녕하세요,hello
몰라,I don't know
일,Day
많은,many
당신의,your
아무것도,nothing
그러니까,therefore
큰,big
알아요,i know
그의,His
뭐가,what
고마워,thank you
그만,stop
했어요,i did it
젠장,shit
사람들이,People
거에요,It's
이걸,This
그럴,So
것도,Too
말이,Words
이미,already
야,hey
그를,Him
뭔가,Something
온,on
이봐,hey
아니면,or not
같아요,same
그런데,however
아니라,not
세상에,oh my god
있다고,Is there
있고,And
뭐라고,what
예,yes
절대,never
말야,Ya
당장,right now
그래도,still
대한,About
말은,The words
거기,there
전부,entire
둘,two
그녀는,she is
니가,you
갈,conflict
않아요,No
자기,self
있죠,Is it
하면,if
가지고,have
그들이,they
참,really
너도,you also
됐어,it's okay
미안해,Sorry
것을,Thing
여긴,Here
아무,any
사람은,people
감사합니다,thank you
다들,everyone
어때,how
씨,Seed
곧,soon
엄마가,Mom
나를,me
이젠,now
아마,maybe
그들은,they
얘기,talk
꼭,please
있잖아,Hey
저도,me too
지금은,now
그녀가,She
중,middle
있다,there is
시간,hour
먼저,first
우릴,Korean
말고,not
사람을,People
수가,medical charge
봐요,see
있는데,there is
알았어요,all right
해야,Sun
있었어,There was
우리의,Our
않을,Not to
방금,just now
완전,very
된,된
동안,during
시간이,This time
싶어,want
본,copy
일은,Work
친구,friend
들어,listen
안에,in
번,th
자네,you
합니다,do
사실,actually
한번,once
대체,how
같은데,Like
생각해,think
맞아요,that's right
볼,cheek
혼자,alone
자네가,You
절,I
그러니,so
선생님,teacher
사람들은,People
문제가,The problem
다음,next
물론,of course
거의,almost
일이야,It's work
없습니다,doesn't exist
아빠가,Dad
되는,felled
그러면,then
순,Pure
가는,going
말도,Speech
이리,Wolf
있었어요,There was
맙소사,oh my god
내일,tomorrow
있으면,if there is
잠깐만,wait for a sec
싫어,no
중요한,important
내게,to me
말해,say
이상,more
거라고,That it is
아는,know
너는,you
새,bird
적,enemy
전혀,at all
여자,female
새로운,new
너희,you guys
왔어,I'm here
아직도,still
가지,egg plant
나와,come out
알,egg
싶지,I want to
여기에,Here
원하는,want
돈,money
필요,necessary
도움이,help
그녀를,Her
몰라요,I don't know
작은,small
혹시,if
미안해요,sorry
나쁜,bad
죄송해요,sorry
모르겠어,I don't know
가요,song
알지,know
밖에,outside
직접,directly
있나,Is there?
니,you
해도,chart
하죠,Do it
했는데,I did it
필요해,I need
아니요,no
적이,Enemies
있나요,do you have
갖고,Have
돈을,money
주세요,please
어디서,where
것이,That
거요,Yes
위한,for
것은,What is
없이,without
나중에,later
아버지,father
나랑,with me
됐어요,That's Okay
마세요,do not
차,car
언제,when
그저,just
생각,thought
했지,Did
봤어,saw
해서,So
시간을,Time
마지막,last
알겠어,okay
왜냐면,because
위해서,for
엄청,very
알겠습니다,All right
오래,long time
기다려,wait
아닙니다,no
있는지,Whether it is
알겠어요,all right
제일,most
지난,past
그렇죠,Yes
죽은,dead
제대로,properly
아니지,No
있다면,if there is
보면,Look
우리를,Us
짓을,To do
남자,man
너가,you are
있다는,That
누구,who
보여,see
왔어요,came
너한테,to you
여러분,everyone
완전히,completely
너의,your
것이다,will be
밤,night
소리,sound
없지,No
벌써,already
모르겠어요,I don't know
말이지,I mean
올,all
사람들을,People
처음,first
말이죠,Word
사람들,people
그녀의,her
멋진,wonderful
왜요,why
정말로,really
이름은,name is
와서,come
대해서,about
여보,honey
조금,little
않았어,I did not
말이에요,I mean
이름이,The name
여보세요,hello
서로,each other
안돼요,No
죽을,dying
첫,First
매우,very
사랑해,love you
오늘은,today
싶은,Desire
어디로,Where
단지,only
아닌,not
나가,get out
뿐이야,only
미안,sorry
확실히,surely
싶어요,want
죄송합니다,sorry
때까지,until
없고,Without
어때요,how is it
살,fat
당연히,of course
데리고,along
필요한,necessary
없다,does not exist
후,after
가고,good night
글쎄,well
